device,filedate,filetimeutc,intersectid,key,laneid,localtimems,minendtime,movementphase,signalgroupid,uuid
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5MzY5NDl9,1,59936949,23500,3,3,e39981ac822d8648e5e0972e620766a7
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5Mzc0NTB9,1,59937450,23500,3,3,2f60e95bea5d76b7155437eafc2b0e6c
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5Mzc5NTB9,1,59937950,23500,3,3,43c4bb9a38a338f3f0ce78bb6595c6a4
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5Mzg0NTB9,1,59938450,23500,3,3,294aa9c85bd4ef7ec56b4586ba731f99
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5Mzg5NTB9,1,59938950,23500,3,3,4d5a98abbd2c35d32cacc241af5dbf0f
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5Mzk0NTB9,1,59939450,23500,3,3,d408381f57b583e38dcc886ac9efd3c0
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDA0NTB9,1,59940450,23500,3,3,d9ccd80f95919e2f4bc9d865d2f6175d
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDA5NTB9,1,59940950,23500,3,3,fc339d26efc0c158bd08a54d236f9721
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDE0NTB9,1,59941450,23500,3,3,71635cc4a50b04478d8d65c3d45ea37b
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDE5NTB9,1,59941950,23500,3,3,5578d0c3f20acc06dbb243cb4ef0120d
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDI0NTB9,1,59942450,23500,3,3,efe69f51d862639c92ecb94027de821a
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDI5NTB9,1,59942950,23500,3,3,6261b53bc3ff07d0298ae0bb75e52b67
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDM0NTB9,1,59943450,23500,3,3,d3a4fa30c0f2e81970c11f0ca7d97ebf
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDM5NTB9,1,59943950,23500,3,3,077605a23ecf8e7cbd9e081993f48c58
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDQ0NTB9,1,59944450,23500,3,3,ee7b5ef0cb55da9b2d1377a4579d1a36
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDQ5NTB9,1,59944950,23500,3,3,91369b43e0f1d036f8e9f0866044e3ee
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDU0NTB9,1,59945450,23500,3,3,1b12d8ad4dc9ceea9d3c8bbb7a930172
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDU5NTB9,1,59945950,23500,3,3,526d0351b9e726018cdecdc382fbe766
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDY0NTB9,1,59946450,23500,3,3,9641ac515afdb0d39d2fa888a72316ce
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDY5NTB9,1,59946950,23500,3,3,f6f66fc9f0fb08907331c84e424a3906
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDc0NTB9,1,59947450,23500,3,3,61e4e6586d6244adb1270c978ed52149
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDg0NTB9,1,59948450,23500,3,3,f2e99617381b84635a7685d6a37c7cc7
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDg5NTB9,1,59948950,23500,3,3,b9cba24d8825a871ec1a3098f6daf286
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDk0NTF9,1,59949451,23500,3,3,ec43b135ebd942daf647ca65de71e93d
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NDk5NTF9,1,59949951,23500,3,3,f1466ee66d91560e13718dbbf0fa7573
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTA0NTF9,1,59950451,23600,1,3,59497de97d57a4a52645716cf4bdd900
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTA5NTJ9,1,59950952,23600,1,3,c329df72685430a571a25b69a52e00ec
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTE1NTF9,1,59951551,23600,1,3,0d80eacbec74986b3b247c1a1285b2ea
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTIwNTF9,1,59952051,23600,1,3,6cf3f4182ec09b28ed0e46f388032196
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTI1NTF9,1,59952551,0,0,3,df20bf2fdd459e67ea24939a8a70f60f
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTMwNTF9,1,59953051,23600,1,3,2ea97af035d85a6bdb09f680440fd275
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTM1NTF9,1,59953551,23600,1,3,9a0b27abfe12a4c93e8a74093dee49a8
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTQwNTF9,1,59954051,23600,1,3,f2abe13fd58016dbb0b4bd33139ecef4
101228,20200601,163407,8,eyJkZXZpY2UiOjEwMTIyOCwiZmlsZWRhdGUiOjIwMjAwNjAxLCJmaWxldGltZXV0YyI6MTYzNDA3LCJsb2NhbHRpbWVtcyI6NTk5NTQ1NTF9,1,59954551,23600,1,3,5d454a21b493289aad56eb1b6db0e486
