configsversionstring,configversion,deltamediaversionstring,device,endlatitude,endlocaltime,endlongitude,endodometer,filedate,filetimeutc,firmwareversionstring,fullmediaversionstring,key,numbsmtx,numcanoutages,numgnssoutages,numinforms,numintersectionencounters,numnormalbsmrx,numshadowbsmrx,numspatrx,numwarnings,pluginsversionstring,startlatitude,startlocaltime,startlongitude,startodometer,storageused,swversionmaj,swversionmin,totalstorageondevice,utctime,uuid
,14,,101701,5830039263.271228,-311497657,1.4543420099627908e+260,-168782097,20200610,164120,,,eyJkZXZpY2UiOjEwMTcwMSwidXRjdGltZSI6LTE3MjY4NzYwNTM3MTA5MDM0MDJ9,-1326224399,74,-11,117,-10,368421108,2012608502,7925,-11,,-1.0168997295931817e-236,-352261787,5088686479.17064,-437241615,,-42,-18,,-1726876053710903402,11e0d9a9a1d70b40b90dc8d532bc2f57
,0,,101701,0.0,0,0.0,0,20200624,130603,,,eyJkZXZpY2UiOjEwMTcwMSwidXRjdGltZSI6MH0=,0,0,0,0,0,0,0,0,0,,0.0,0,0.0,0,,0,0,,0,71feb71f132e4a25b70d29300691c8dc
,0,,101701,0.0,0,0.0,0,20200602,181809,,,eyJkZXZpY2UiOjEwMTcwMSwidXRjdGltZSI6MH0=,0,0,0,0,0,0,0,0,0,,0.0,0,0.0,0,,0,0,,0,f6355b74471d49ceebe9933bed44f752
,0,,100625,40.06399156000375,6666905,-83.14287957895365,-1000,20200601,12053,,,eyJkZXZpY2UiOjEwMDYyNSwidXRjdGltZSI6MTU5MDk3NDQ1MzcyM30=,19212,-2,0,0,0,0,0,0,0,,39.60894085663562,4854223,-82.93425405266359,-1000,,2,2,,1590974453723,bf9e7d99ba6c1dbde4cf1c90e48b2e91
,0,,103940,40.25804477816263,6624097,-83.38168544295404,-1000,20200601,14944,,,eyJkZXZpY2UiOjEwMzk0MCwidXRjdGltZSI6MTU5MDk3NjE4NDM3OX0=,1852,5,0,0,0,0,0,0,0,,40.25748780841507,6604096,-83.38362829266197,-1000,,2,3,,1590976184379,b14b849b72be010933ecaa7ca07590e0
,0,,101084,40.09508514370611,41104770,-83.1315825688139,21309938,20200601,111819,,,eyJkZXZpY2UiOjEwMTA4NCwidXRjdGltZSI6MTU5MTAxMDI5OTQxNn0=,3384,5,0,0,0,0,0,61,0,,40.07591651087078,40859146,-83.1281245382238,-1000,,2,3,,1591010299416,334a3e53fa023c36a0c3596fd24189db
,0,,102629,40.28541396239287,42343060,-83.52691002686777,166843521,20200601,111922,,,eyJkZXZpY2UiOjEwMjYyOSwidXRjdGltZSI6MTU5MTAxMDM2MjExM30=,17358,13,0,0,0,0,0,2039,0,,40.13353133739929,40905818,-83.1796546588676,-1000,,2,2,,1591010362113,c184f48afb10dcb6f9e3e419aa32ca4a
,0,,101452,40.285357152116894,43528595,-83.52701042038971,0,20200601,112409,,,eyJkZXZpY2UiOjEwMTQ1MiwidXRjdGltZSI6MTU5MTAxMDY0OTE5M30=,26533,11,0,0,1,0,0,2528,0,,40.048846755196394,41134679,-83.0046540902802,-1000,,2,2,,1591010649193,d0422965db70c7cb0db5165bd56f8b6d
,0,,103940,40.285410761700376,41238603,-83.52692649152948,-1000,20200601,112654,,,eyJkZXZpY2UiOjEwMzk0MCwidXRjdGltZSI6MTU5MTAxMDgxNDkxN30=,1947,19,0,0,0,0,0,0,0,,40.28235051193567,41218601,-83.53100868891819,-1000,,2,3,,1591010814917,67a0defcd348503bc67f3b450d73fcc7
,0,,101910,40.060905035953915,42759244,-83.1815595259064,-1000,20200601,114606,,,eyJkZXZpY2UiOjEwMTkxMCwidXRjdGltZSI6MTU5MTAxMTk2NjA3N30=,0,19,0,0,0,0,0,0,0,,40.0515896688484,42575230,-83.15929522702795,-1000,,2,2,,1591011966077,6b4dc03eef061ec821820c2319a95f3c
